title,decision,year,Authors,rating_score,rating_text,review,confidence_score,confidence_text,academic_age,current_age,total_num_pub,total_num_conference,total_num_informal,total_num_journal,reasoning,sentiment_score,politeness_score
Transfer of View-manifold Learning to Similarity Perception of Novel Objects,Accept,2017,"['Xingyu Lin', 'Hao Wang', 'Zhihao Li', 'Yimeng Zhang', 'Alan Yuille', 'Tai Sing Lee']","[5, 6, 7]","['5', 'Marginally above acceptance threshold', 'Good paper, accept']","This paper proposes a model to learn across different views of objects. The key insight is to use a triplet loss that encourages two different views of the same object to be closer than an image of a different object. The approach is evaluated on object instance and category retrieval and compared against baseline CNNs (untrained AlexNet and AlexNet fine-tuned for category classification) using fc7 features with cosine distance. Furthermore, a comparison against human perception on the *Tenenbaum objects” is shown. Positives: Leveraging a triplet loss for this problem may have some novelty (although it may be somewhat limited given some concurrent work; see below). The paper is reasonably written. Negatives: The paper is missing relevant references of related work in this space and should compare against an existing approach. More details: The “image purification” paper is very related to this work: [A] Joint Embeddings of Shapes and Images via CNN Image Purification. Hao Su*, Yangyan Li*, Charles Qi, Noa Fish, Daniel Cohen-Or, Leonidas Guibas. SIGGRAPH Asia 2015. There they learn to map CNN features to (hand-designed) light field descriptors of 3D shapes for view-invariant object retrieval. If possible, it would be good to compare directly against this approach (e.g., the cross-view retrieval experiment in Table 1 of [A]). It appears that code and data is available online (http://shapenet.github.io/JointEmbedding/). Somewhat related to the proposed method is recent work on multi-view 3D object retrieval: [B] Multi-View 3D Object Retrieval With Deep Embedding Network. Haiyun Guo, Jinqiao Wang, Yue Gao, Jianqiang Li, and Hanqing Lu. IEEE TRANSACTIONS ON IMAGE PROCESSING, VOL. 25, NO. 12, DECEMBER 2016. There they developed a triplet loss as well, but for multi-view retrieval (given multiple images of the same object). Given the similarity of the developed approach, it somewhat limits the novelty of the proposed approach in my view. Also related are approaches that predict a volumetric representation of an input 2D image (going from image to canonical orientation of 3D shape): [C] R. Girdhar, D. Fouhey, M. Rodriguez, A. Gupta. Learning a Predictable and Generative Vector Representation for Objects. ECCV 2016. [D] Learning a Probabilistic Latent Space of Object Shapes via 3D Generative-Adversarial Modeling. Jiajun Wu*, Chengkai Zhang*, Tianfan Xue, William T. Freeman, and Joshua B. Tenenbaum. NIPS 2016. For the experiments, I would like to see a comparison using different feature layers (e.g., conv4, conv5, pool4, pool5) and feature comparison (dot product, Eucllidean). It has been shown that different layers and feature comparisons perform differently for a given task, e.g., [E] Deep Exemplar 2D-3D Detection by Adapting from Real to Rendered Views. Francisco Massa, Bryan C. Russell, Mathieu Aubry. Conference on Computer Vision and Pattern Recognition (CVPR), 2016. [F] Understanding Deep Features with Computer-Generated Imagery. Mathieu Aubry and Bryan C. Russell. IEEE International Conference on Computer Vision (ICCV), 2015.","['5', '4', '3']","['The reviewer is absolutely certain that the evaluation is correct and very familiar with the relevant literature', 'The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is fairly confident that the evaluation is correct']","[1, 27, 14, 10, 35, 26]","[7, 33, 20, 16, 41, 31]","[30, 1335, 94, 64, 704, 43]","[11, 627, 49, 33, 337, 20]","[16, 199, 18, 9, 265, 8]","[3, 509, 27, 22, 102, 15]","The sentiment score is slightly negative (-20) because while the reviewer notes some positives ('Leveraging a triplet loss for this problem may have some novelty', 'The paper is reasonably written'), there are more substantial criticisms. The reviewer points out that the paper is missing relevant references, should compare against existing approaches, and that the novelty may be limited due to similar concurrent work. The politeness score is moderately positive (50) as the reviewer uses professional and respectful language throughout, balancing positive and negative feedback, and offering constructive suggestions for improvement rather than harsh criticism. The reviewer uses phrases like 'It would be good to' and 'I would like to see' which maintain a polite tone while still conveying areas for improvement.",-20,50
Tree-structured decoding with doubly-recurrent neural networks,Accept,2017,"['David Alvarez-Melis', 'Tommi S. Jaakkola']","[6, 6, 7]","['Marginally above acceptance threshold', 'Marginally above acceptance threshold', 'Good paper, accept']","This paper proposes a variant of a recurrent neural network that has two orthogonal temporal dimensions that can be used as a decoder to generate tree structures (including the topology) in an encoder-decoder setting. The architecture is well motivated and I can see several applications (in addition to what*s presented in the paper) that need to generate tree structures given an unstructured data. One weakness of the paper is the limitation of experiments. IFTTT dataset seems to be an interesting appropriate application, and there is also a synthetic dataset, however it would be more interesting to see more natural language applications with syntactic tree structures. Still, I consider the experiments sufficient as a first step to showcase a novel architecture. A strength is that the authors experiment with different design decisions when building the topology predictor components of the architecture, about when / how to decide to terminate, as opposed to making a single arbitrary choice. I see future applications of this architecture and it seems to have interesting directions for future work so I suggest its acceptance as a conference contribution.","['4', '4', '4']","['The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is confident but not absolutely certain that the evaluation is correct']","[3, 25]","[9, 31]","[46, 294]","[17, 149]","[27, 112]","[2, 33]","The sentiment score is 70 (positive) because the reviewer expresses clear approval of the paper, highlighting its strengths and potential applications. They suggest acceptance and see future potential, although they do note a weakness in the limited experiments. The politeness score is 80 (quite polite) as the reviewer uses respectful language throughout, acknowledging both strengths and weaknesses in a constructive manner. They use phrases like 'I can see', 'it would be more interesting', and 'I suggest' which maintain a polite and professional tone. The reviewer also balances critique with praise, showing consideration for the authors' work.",70,80
Trusting SVM for Piecewise Linear CNNs,Accept,2017,"['Leonard Berrada', 'Andrew Zisserman', 'M. Pawan Kumar']","[5, 4, 6]","['5', 'Ok but not good enough - rejection', 'Marginally above acceptance threshold']","This paper presents a novel layer-wise optimization approach for learning CNN with piecewise linear nonlinearities. The proposed approach trains piecewise linear CNNs layer by layer and reduces the sub-problem into latent structured SVM, which has been well-studied in the literature. In addition, the paper presents improvements of the BCFW algorithm used in the inner procedure. Overall, this paper is interesting. However, unfortunately, the experiment is not convincing. Pros: - To my best knowledge, the proposed approach is novel, and the authors provide nice theoretical analysis. - The paper is well-written and easy to follow. Cons: - Although the proposed approach can be applied in general structured prediction problem, the experiments only conduct on a simple multi-class classification task. This makes this work less compelling. - The test accuracy performance on CIFAR-10 reported in the paper doesn*t look right. The accuracy of the best model reported in this paper is 70.2% while existing work often reports 90+%. For example, https://arxiv.org/pdf/1412.6806.pdf showed an accuracy of 91% without data augmentation. Also, CIFAR-10 is a relatively small dataset, Other comments: - If I understand correctly, BCFW only guarantees monotonically increasing in the dual objective and does not have guarantees on the primal objective. Especially, in practice, the inner optimization process often stops pretty early (i.e., stops when duality gap is still large). Therefore, when putting them together, the CCCP procedure may not monotonically decrease as the inner procedure is only solved approximately. The authors should add this note when they discuss the properties of their algorithm.","['4', '4', '4']","['The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is confident but not absolutely certain that the evaluation is correct']","[2, 33, 16]","[8, 39, 22]","[15, 746, 118]","[5, 455, 57]","[9, 188, 43]","[1, 103, 18]","The sentiment score is slightly negative (-20) because while the reviewer acknowledges some positive aspects ('interesting', 'novel', 'well-written'), they express significant concerns about the experimental results ('not convincing', 'doesn't look right'). The overall tone suggests the paper needs substantial improvements. The politeness score is moderately positive (60) as the reviewer uses polite language throughout, acknowledging both pros and cons, and phrases criticisms constructively ('Unfortunately...', 'If I understand correctly...'). They maintain a professional tone even when pointing out issues, avoiding harsh or rude language.",-20,60
Tying Word Vectors and Word Classifiers: A Loss Framework for Language Modeling,Accept,2017,"['Hakan Inan', 'Khashayar Khosravi', 'Richard Socher']","[6, 7, 8]","['Marginally above acceptance threshold', 'Good paper, accept', 'Top 50% of accepted papers, clear accept']","This work offers a theoretical justification for reusing the input word embedding in the output projection layer. It does by proposing an additional loss that is designed to minimize the distance between the predictive distribution and an estimate of the true data distribution. This is a nice setup since it can effectively smooth over the labels given as input. However, the construction of the estimate of the true data distribution seems engineered to provide the weight tying justification in Eqs. 3.6 and 3.7. It is not obvious why the projection matrix L in Eq 3.6 (let*s rename it to L*) should be the same as that in Eq. 2.1. For example, L* could be obtained through word2vec embeddings trained on a large dataset or it could be learned as an additional set of parameters. In the case that L* is a new learned matrix, it seems the result in Eq 4.5 is to use an independent matrix for the output projection layer, as is usually done. The experimental results are good and provide support for the approximate derivation done in section 4, particularly the distance plots in figure 1. Minor comments: Third line in abstract: where model -> where the model Second line in section 7: into space -> into the space Shouldn*t the RHS in Eq 3.5 be sum 	ilde{y_{t,i}}(frac{hat{y}_t}{	ilde{y_{t,i}}} - e_i) ?","['4', '4', '4']","['The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is confident but not absolutely certain that the evaluation is correct']","[4, 4, 11]","[9, 9, 17]","[10, 14, 229]","[4, 5, 111]","[5, 6, 111]","[1, 3, 7]","The sentiment score is 50 (slightly positive) because the reviewer acknowledges the work as offering a 'nice setup' and providing 'good' experimental results that support the derivation. However, they also raise questions about certain aspects of the methodology, indicating a balanced view. The politeness score is 70 (fairly polite) as the reviewer uses respectful language throughout, offering constructive criticism and suggestions without harsh or dismissive statements. They use phrases like 'This is a nice setup' and provide specific, helpful feedback, including minor comments for improvement. The tone is professional and courteous throughout.",50,70
Understanding Trainable Sparse Coding with Matrix Factorization,Accept,2017,"['Thomas Moreau', 'Joan Bruna']","[6, 8]","['Marginally above acceptance threshold', 'Top 50% of accepted papers, clear accept']","This paper performs theoretical analysis to understand how sparse coding could be accelerated by neural networks. The neural networks are generated by unfolding the ISTA/FISTA iterations. Based on the results, the authors proposed a reparametrization approach for the neural network architecture to enforce the factorization property and recovered the original gain of LISTA, which justified the theoretical analysis. My comments are listed below. It is not clear about the purpose of Section 2.3.2. Adapting the factorization to the input distribution based on (15) would be time consuming because the overhead of solving (15) may not save the total time. In fact, the approach does not use (15) but back propagation to learn the factorization parameters. Minor comments: - E(z_k) in (3) and (4) are not defined. - E_x in (19) is not defined. - Forward referencing (“Equation (20) defines…”) in the paragraph above Theorem 2.2. needs to be corrected.","['3', '4']","['The reviewer is fairly confident that the evaluation is correct', 'The reviewer is confident but not absolutely certain that the evaluation is correct']",['skipped'],['skipped'],"[48, 162]","[19, 64]","[22, 88]","[7, 10]","The sentiment score is slightly positive (20) because the reviewer acknowledges the paper's theoretical analysis and proposed approach, which 'justified the theoretical analysis'. However, they also raise some concerns and point out minor issues, which prevents a higher positive score. The politeness score is moderately positive (50) as the reviewer uses neutral language and presents their comments as suggestions rather than harsh criticisms. They use phrases like 'It is not clear' and 'needs to be corrected' instead of more confrontational language. The reviewer also balances positive aspects with constructive criticism, maintaining a professional and respectful tone throughout.",20,50
Unrolled Generative Adversarial Networks,Accept,2017,"['Luke Metz', 'Ben Poole', 'David Pfau', 'Jascha Sohl-Dickstein']","[7, 7, 9]","['Good paper, accept', 'Good paper, accept', '9']","This work introduces a novel method for training GANs by displacing simultaneous SGD, and unrolling the inner optimization in the minmax game as a computational graph. The paper is very clearly written, and explains the justification very well. The problem being attacked is very significant and important. The approach is novel, however, similar ideas have been tried to solve problems unrelated to GANs. The first quantitative experiment is section 3.3.1, where the authors attempt to find the best z which can generate training examples. This is done by using L-BFGS on |G(z) - x|. The claim is that if we*re able to find such a z, then the generator can generate this particular training example. It*s demonstrated that 0-step GANs are not able to generate many training examples, while unrolled GANs do. However, I find this experiment unreasonable. Being able to find a certain z, which generates a certain sample does not guarantee that this particular mode is high probability. In fact, an identity function can potentially beat all the GAN models in the proposed metric. And due to Cantor*s proof of equivalence between all powers of real spaces, this applies to smaller dimension of z as well. More realistically, it should be possible to generate *any* image from a generator by finding a very specific z. That a certain z exists which can generate a sample does not prove that the generator is not missing modes. It just proves that the generator is similar enough to an identity function to be able to generate any possible image. This metric is thus measuring something potentially tangential to diversity or mode-dropping. Another problem with this metric is that that showing that the optimization is not able to find a z for a specific training examples does not prove that such a z does not exist, only that it*s harder to find. So, this comparison might just be showing that unrolled GANs have a smoother function than 0-step GANs, and thus easier to optimize for z. The second quantitative experiment considers mean pairwise distance between generated samples, and between data samples. The first number is likely to be small in the case of a mode-dropping GAN. The authors argue that the two numbers being closer to each other is an indication of the generated samples being as diverse as the data. Once again, this metric is not convincing. 1. The distances are being measured in pixel-space. 2. A GAN model could be generating garbage, and yet still perform very well in this metric. There are no other quantitative results in the paper. Even though the method is optimizing diversity, for a sanity check, scores for quality such as Inception scores or SSL performance would have been useful. Another metric that the authors can consider is training GAN using this approach on the tri-MNIST dataset (concatenation of 3 MNIST digits), which results in 1000 easily-identifiable modes. Then, demonstrate that the GAN is able to generate all the 1000 modes with equal probability. This is not a perfect metric either, but arguably much better than the metrics in this paper. This metric is used in this ICLR submission: https://openreview.net/pdf?id=HJKkY35le Whether this paper is accepted or not, I encourage the authors to investigate this approach further, since the method is promising and interesting. # Post-rebuttal review The authors have incorporated changed in the paper by adding more experiments. These experiments now demonstrate the claims of the paper better. The paper was already well-written and introduced a novel idea and addressed an important problem. The only thing holding this paper back was unconvincing experiments, which now has been corrected. Thus, I would increase my score by 2 points, and recommend accepting the paper.","['5', '5', '5']","['The reviewer is absolutely certain that the evaluation is correct and very familiar with the relevant literature', 'The reviewer is absolutely certain that the evaluation is correct and very familiar with the relevant literature', 'The reviewer is absolutely certain that the evaluation is correct and very familiar with the relevant literature']","[2, 7, 8, 9]","[8, 13, 14, 15]","[48, 62, 27, 130]","[19, 24, 11, 52]","[29, 37, 14, 74]","[0, 1, 2, 4]","The sentiment score is 50 (slightly positive) because the reviewer acknowledges the paper's clear writing, novel approach, and importance of the problem being addressed. However, they express significant concerns about the experimental methods and metrics used. The reviewer encourages further investigation, which indicates a generally positive outlook despite the criticisms. The politeness score is 80 (quite polite) because the reviewer uses respectful language throughout, offers constructive criticism, and provides specific suggestions for improvement. They acknowledge the paper's strengths before delving into concerns, and use phrases like 'I encourage the authors' which maintain a supportive tone. The post-rebuttal review also shows a willingness to reconsider their evaluation based on the authors' responses, which is indicative of a polite and fair review process.",50,80
Unsupervised Cross-Domain Image Generation,Accept,2017,"['Yaniv Taigman', 'Adam Polyak', 'Lior Wolf']","[7, 6, 7]","['Good paper, accept', 'Marginally above acceptance threshold', 'Good paper, accept']","This paper presents an unsupervised image transformation method that maps a sample from source domain to target domain. The major contribution lies in that it does not require aligned training pairs from two domains. The model is based on GANs. To make it work in the unsupervised setting, this paper decomposes the generation function into two modules: an encoder that identify a common feature space between two domains and an decoder that generates samples in the target domain. To avoid trivial solutions, this paper proposed two additional losses that penalize 1) the feature difference between a source sample and its transformed sample and 2) the pixel difference between a target sample and its re-generated sample. This paper presents extensive experiments on transferring SVHN digit images to MNIST style and transferring face images to emoji style. +The proposed learning method enables unsupervised domain transfer that could be impactful in broad problem contexts. +This paper presents careful ablation studies to analyze the effects of different components of the system, which is helpful for understanding the paper. +The transferred images are visually impressive and quantitative results also show the image identities are preserved across domains to some degree. -It will be more interesting to show results in other domains such as texts and images. -In addition to the face identities, it is also of great interest to analyze how well the facial attributes are preserved when mapping to target domain.","['4', '3', '3']","['The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is fairly confident that the evaluation is correct', 'The reviewer is fairly confident that the evaluation is correct']","[9, 3, 18]","[15, 9, 24]","[42, 41, 416]","[19, 16, 213]","[21, 23, 168]","[2, 2, 35]","The sentiment score is 70 (positive) because the review begins with a neutral description of the paper's content, followed by several positive points indicated by '+' symbols. These highlight the paper's contributions, careful analysis, and impressive results. There are only two minor criticisms at the end, prefaced with '-' symbols, suggesting areas for improvement rather than major flaws. The politeness score is 50 (slightly polite) because the reviewer uses professional and objective language throughout, without any harsh criticism or personal attacks. They acknowledge the paper's strengths and offer constructive suggestions for improvement. The tone is respectful but not overly formal or effusive, maintaining a balanced and academic approach.",70,50
Variable Computation in Recurrent Neural Networks,Accept,2017,"['Yacine Jernite', 'Edouard Grave', 'Armand Joulin', 'Tomas Mikolov']","[4, 7, 7]","['Ok but not good enough - rejection', 'Good paper, accept', 'Good paper, accept']","TLDR: The authors present Variable Computation in Recurrent Neural Networks (VCRNN). VCRNN is similar in nature to Adaptive Computation Time (Graves et al., 2016). Imagine a vanilla RNN, at each timestep only a subset (i.e., *variable computation*) of the state is updated. Experimental results are not convincing, there is limited comparison to other cited work and basic LSTM baseline. === Gating Mechanism === At each timestep, VCRNN generates a m_t vector which can be seen as a gating mechanism. Based off this m_t vector, a D-first (D-first as in literally the first D RNN states) subset of the vanilla RNN state is gated to be updated or not. Extra hyperparams epsilon and _x0008_ar{m} are needed -- authors did not give us a value or explain how this was selected or how sensitive and critical these hyperparms are. This mechanism while novel, feels a bit clunky and awkward. It does not feel well principled that only the D-first states get updated, rather than a generalized solution where any subset of the state can be updated. A short section in the text comparing to the soft-gating mechanisms of GRUs/LSTMs/Multiplicative RNNs (Wu et al., 2016) would be nice as well. === Variable Computation === One of the arguments made is that their VCRNN model can save computation versus vanilla RNNs. While this may be technically true, in practice this is probably not the case. The size of the RNNs they compare to do not saturate any modern GPU cores. In theory computation might be saved, but in practice there will probably be no difference in wallclock time. The authors also did not report any wallclock numbers, which makes this argument hard to sell. === Evaluation === This reviewer wished there was more citations to other work for comparison and a stronger baseline (than just a vanilla RNN). First, LSTMs are very simple and quite standard nowadays -- there is a lack of comparison to any basic stacked LSTM architecture in all the experiments. The PTB BPC numbers are quite discouraging as well (compared to state-of-the-art). The VCRNN does not beat the basic vanilla RNN baseline. The authors also only cite/compare to a basic RNN architecture, however there has been many contributions since a basic RNN architecture that performs vastly better. Please see Chung et al., 2016 Table 1. Chung et al., 2016 also experimented w/ PTB BPC and they cite and compare to a large number of other (important) contributions. One cool experiment the authors did is graph the per-character computation of VCRNN (i.e., see Figure 2). It shows after a space/word boundary, we use more computation! Cool! However, this makes me wonder what a GRU/LSTM does as well? What is the magnitude of the of the change in the state vector after a space in GRU/LSTM -- I suspect them to do something similar. === Minor === * Please add Equations numbers to the paper, hard to refer to in a review and discussion! References Chung et al., *Hierarchical Multiscale Recurrent Neural Networks,* in 2016. Graves et al., *Adaptive Computation Time for Recurrent Neural Networks,* in 2016. Wu et al., *On Multiplicative Integration with Recurrent Neural Networks,* in 2016.","['5', '4', '4']","['The reviewer is absolutely certain that the evaluation is correct and very familiar with the relevant literature', 'The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is confident but not absolutely certain that the evaluation is correct']","[5, 7, 8, 10]","[11, 13, 14, 15]","[49, 93, 130, 83]","[14, 36, 59, 46]","[33, 52, 67, 33]","[2, 5, 4, 4]","The sentiment score is -50 because the review is generally critical of the paper, pointing out several limitations and shortcomings. The reviewer states that 'Experimental results are not convincing' and that the proposed model 'does not beat the basic vanilla RNN baseline.' However, it's not entirely negative as the reviewer acknowledges some positive aspects, such as the 'cool experiment' showing per-character computation. The politeness score is 20 because while the reviewer is critical, they maintain a professional and constructive tone throughout. They use phrases like 'This reviewer wished' and 'Please add' which are polite ways of making suggestions. The reviewer also acknowledges positive aspects and provides specific recommendations for improvement, which is a polite approach to criticism. However, some phrases like 'feels a bit clunky and awkward' are slightly less polite, preventing a higher score.",-50,20
Variational Lossy Autoencoder,Accept,2017,"['Xi Chen', 'Diederik P. Kingma', 'Tim Salimans', 'Yan Duan', 'Prafulla Dhariwal', 'John Schulman', 'Ilya Sutskever', 'Pieter Abbeel']","[9, 7, 7, 6]","['9', 'Good paper, accept', 'Good paper, accept', 'Marginally above acceptance threshold']","The AR prior and its equivalent - the inverse AR posterior - is one of the more elegant ways to improve the unfortunately poor generative qualities of VAE-s. It is only an incremental but important step. Incremental, because, judging by the lack of, say, CIFAR10 pictures of the VLAE in its *creative* regime ( i.e., when sampling from prior), it will not answer many of the questions hanging over. We hope to see the paper accepted: in relative terms, the paper shines in the landscape of the other papers which are rich on engineering hacks but lacking on theoretical insights. Some disagreements with the theoretical suppositions in the paper: i) The VAE-s posterior converges to the prior faster than we would like because the gradients of the *generative* error (the KL divergence of prior and posterior) w.r.t. mu & sigma are simple, inf differentiable functions and their magnitude far exceeds the magnitude of the resp. gradients of the reconstruction error. Especially when more *hairy* decoders like pixelCNN are used. We always considered this obvious and certainly not worthy of one page of CS mumbo-jumbo to explain. Dumbing-down the decoder via variations of dropout or *complexifying* the sampler as in here, or slapping the generative error with a *DeepMind* constant (beta_VAE), are the natural band-aids, but seem to fail in the *creative* regime, for real-life sets like CIFAR10 or more complex ones. Other conceptual solutions are needed, some are discussed in [2]. ii) The claim near the end of section 2.2 that *the extra coding cost a.k.a. variational error will exist and will not be negligible* is a speculation, which, in our empirical experience at least, is incorrect. The variational error is quantifiable for the Gibbs/exponential family of priors/posteriors, as described in [1], section 3.8, and as Tim Salimans knows from his own previous work. In the case of CIFAR10 for example, the variational error is negligible, even for simple sampling families like Gaussian, Laplacian, etc. Moreover, in hindsight, using the closed-form for generative error (the KL divergence of prior and posterior) in the pioneering VAE papers, was likely a mistake inherited by the unnecessary Bayseanism which inspired them (beautiful but a mistake nonetheless): The combo of generative and variational error should together be approximated by the same naive Monte Carlo used for the reconstruction error (easily follows from equation (3.13) in [1]) i.e. arithmetic average over observations. On the lighter side, guys, please do not recycle ridiculous terms like *optimizationally challenged*, as in section 2.2! The English language has recently acquired *mentally-challenged*, *emotionally-challenged*, etc, and now political correctness has sadly found its way to machines? [1] https://arxiv.org/pdf/1508.06585v5.pdf [2] https://arxiv.org/pdf/1511.02841v3.pdf","['4', '4', '4', '4']","['The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is confident but not absolutely certain that the evaluation is correct']","[3, 8, 6, 10, 2, 7, 11, 16]","[8, 14, 12, 15, 8, 13, 17, 22]","[47, 46, 60, 52, 22, 66, 99, 610]","[21, 21, 21, 28, 8, 27, 49, 291]","[24, 24, 36, 19, 14, 37, 45, 293]","[2, 1, 3, 5, 0, 2, 5, 26]","The sentiment score is 50 (slightly positive) because the reviewer expresses hope for the paper's acceptance and praises it for providing theoretical insights, which is relatively rare. However, they also point out limitations and disagree with some theoretical suppositions, balancing the positive aspects. The politeness score is 20 (slightly polite) because the reviewer uses generally respectful language and acknowledges the paper's merits. However, there are instances of direct criticism and some informal language (e.g., 'mumbo-jumbo', 'band-aids') that prevent a higher politeness score. The reviewer also advises against using certain terms, which is constructive but could be perceived as slightly critical.",50,20
Variational Recurrent Adversarial Deep Domain Adaptation,Accept,2017,"['Sanjay Purushotham', 'Wilka Carvalho', 'Tanachat Nilanon', 'Yan Liu']","[5, 6, 6]","['5', 'Marginally above acceptance threshold', 'Marginally above acceptance threshold']","The work combines variational recurrent neural networks, and adversarial neural networks to handle domain adaptation for time series data. The proposed method, along with several competing algorithms are compared on two healthcare datasets constructed from MIMIC-III in domain adaptation settings. The new contribution of the work is relatively small. It extends VRNN with adversarial training for learning domain agnostic representations. From the experimental results, the proposed method clearly out-performs competing algorithms. However, it is not clear where the advantage is coming from. The only difference between the proposed method and R-DANN is using variational RNN vs RNN. Little insights were provided on how this could bring such a big difference in terms of performance and the drastic difference in the temporal dependencies captured by these two methods in Figure 4. Detailed comments: 1. Please provide more details on what is plotted in Figure 1. Is 1 (b) is the t-sne projection of representations learned by DANN or R-DANN? The text in section 4.4 suggests it’s the later case. It is surprising to see such a regular plot for VRADA. What do you think are the two dominant latent factors encoded in figure 1 (c)? 2. In Table 2, the two baselines have quite significant difference in performance testing on the entire target (including validation set) vs on the test set only. VRADA, on the other hand, performs almost identical in these two settings. Could you please offer some explanation on this? 3. Please explain figure 3 and 4 in more details. how to interpret the x-axis of figure 3, and the x and y axes of figure 4. Again the right two plots in figure 4 are extremely regular comparing to the ones on the left.","['4', '4', '4']","['The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is confident but not absolutely certain that the evaluation is correct']","[9, 1, 2, 16]","[15, 7, 2, 22]","[43, 9, 2, 219]","[25, 4, 2, 132]","[14, 5, 0, 57]","[4, 0, 0, 30]","The sentiment score is slightly negative (-20) because while the reviewer acknowledges some positive aspects of the work (e.g., 'clearly out-performs competing algorithms'), they also express concerns about the small contribution and lack of clarity in explaining the advantages of the proposed method. The overall tone suggests that the reviewer is not fully convinced by the work.

The politeness score is moderately positive (50) as the reviewer maintains a professional and respectful tone throughout. They use neutral language to express their concerns and provide constructive feedback. The reviewer asks questions and requests clarifications rather than making harsh criticisms.

The reasoning for these scores is based on the balance of positive and negative comments, the professional tone, and the constructive nature of the feedback. The reviewer's language is not overly enthusiastic or praising, but it's also not rude or dismissive, leading to a slightly negative sentiment score but a positive politeness score.",-20,50
Visualizing Deep Neural Network Decisions: Prediction Difference Analysis,Accept,2017,"['Luisa M Zintgraf', 'Taco S Cohen', 'Tameem Adel', 'Max Welling']","[6, 9, 6]","['Marginally above acceptance threshold', '9', 'Marginally above acceptance threshold']","The paper presents a theoretically well motivated for visualizing what parts of the input feature map are responsible for the output decision. The key insight is that features that maximally change the output and are simultaneously more unpredictable from other features are the most important ones. Most previous work has focused on finding features that maximally change the output without accounting for their predictability from other features. Authors build upon ideas presented in the work of Robnik-Šikonja & Kononenko (2008). The results indicate that the proposed visualization mechanism based on modeling conditional distribution identifies more salient regions as compared to a mechanism based on modeling marginal distribution. I like that authors have presented visualization results for a single image across multiple networks and multiple classes. There results show that the proposed method indeed picks up on class-discriminative features. Authors have provided a link to visualizations for a random sample of images in a comment – I encourage the authors to include this in the appendix of the paper. My one concern with the paper is – Zeiler et al., proposed a visualization method by greying small square regions in the image. This is similar to computing the visualization using the marginal distribution. Authors compute the marginal visualization using 10 samples, however in the limit of infinite samples the image region would be gray. The conditional distribution is computed using a normal distribution that provides some regularization and therefore estimating the conditional and marginal distributions using 10 samples each is not justified. I would like to see the comparison when grey image patches (akin to Zeiler et al.) are used for visualization against the approach based on the conditional distribution.","['4', '4', '5']","['The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is confident but not absolutely certain that the evaluation is correct', 'The reviewer is absolutely certain that the evaluation is correct and very familiar with the relevant literature']","[2, 4, 8, 18]","[8, 10, 12, 24]","[36, 86, 25, 391]","[15, 32, 18, 190]","[18, 49, 7, 167]","[3, 5, 0, 34]","The sentiment score is 60 (moderately positive) because the reviewer expresses appreciation for the paper's theoretical motivation, key insights, and results. They use phrases like 'I like that authors have presented...' and note that the results show the method 'indeed picks up on class-discriminative features'. However, they also express a concern about the comparison methodology, which prevents a higher positive score. The politeness score is 70 (fairly polite) because the reviewer uses respectful language throughout, offers constructive feedback, and encourages the authors to include additional information. They phrase their concern as 'My one concern...' rather than using more critical language. The reviewer also uses phrases like 'I encourage the authors...' and 'I would like to see...', which are polite ways of making suggestions.",60,70
