Title,Authors,recommendation
The Expressive Power of Gated Recurrent Units as a Continuous Dynamical System,"['Ian D. Jordan', 'Piotr Aleksander Sokol', 'Il Memming Park']",Reject
I Know the Feeling: Learning to Converse with Empathy,"['Hannah Rashkin', 'Eric Michael Smith', 'Margaret Li', 'Y-Lan Boureau']",Reject
Graph Transformer ,"['Yuan Li', 'Xiaodan Liang', 'Zhiting Hu', 'Yinbo Chen', 'Eric P. Xing']",Reject
DHER: Hindsight Experience Replay for Dynamic Goals,"['Meng Fang', 'Cheng Zhou', 'Bei Shi', 'Boqing Gong', 'Jia Xu', 'Tong Zhang']",Accept (Poster)
Stochastic Gradient/Mirror Descent: Minimax Optimality and Implicit Regularization,"['Navid Azizan', 'Babak Hassibi']",Accept (Poster)
Unsupervised Learning of the Set of Local Maxima,"['Lior Wolf', 'Sagie Benaim', 'Tomer Galanti']",Accept (Poster)
Multi-task Learning with Gradient Communication,"['Pengfei Liu', 'Xuanjing Huang']",Reject
MLPrune: Multi-Layer Pruning for Automated Neural Network Compression,"['Wenyuan Zeng', 'Raquel Urtasun']",Reject
The Nonlinearity Coefficient - Predicting Generalization in Deep Neural Networks,"['George Philipp', 'Jaime G. Carbonell']",Reject
Neural Logic Machines,"['Honghua Dong', 'Jiayuan Mao', 'Tian Lin', 'Chong Wang', 'Lihong Li', 'Denny Zhou']",Accept (Poster)
Neural Regression Tree,"['Wenbo Zhao', 'Shahan Ali Memon', 'Bhiksha Raj', 'Rita Singh']",Reject
Locally Linear Unsupervised Feature Selection,"['Guillaume DOQUET', 'Michèle SEBAG']",Reject
How Training Data Affect the Accuracy and Robustness of Neural Networks for Image Classification,"['Suhua Lei', 'Huan Zhang', 'Ke Wang', 'Zhendong Su']",Reject
Defensive Quantization: When Efficiency Meets Robustness,"['Ji Lin', 'Chuang Gan', 'Song Han']",Accept (Poster)
D-GAN: Divergent generative adversarial network for positive unlabeled learning and counter-examples generation,['Florent CHIARONI. Mohamed-Cherif RAHAL. Nicolas HUEBER. Frédéric DUFAUX.'],Reject
Zero-training Sentence Embedding via Orthogonal Basis,"['Ziyi Yang', 'Chenguang Zhu', 'Weizhu Chen']",Reject
Model-Agnostic Meta-Learning for Multimodal Task Distributions,"['Risto Vuorio', 'Shao-Hua Sun', 'Hexiang Hu', 'Joseph J. Lim']",Reject
DON’T JUDGE A BOOK BY ITS COVER - ON THE DYNAMICS OF RECURRENT NEURAL NETWORKS,"['Doron Haviv', 'Alexander Rivkind', 'Omri Barak']",Reject
AIM: Adversarial Inference by Matching Priors and Conditionals,"['Hanbo Li', 'Yaqing Wang', 'Changyou Chen', 'Jing Gao']",Reject
Dimensionality Reduction for Representing the Knowledge of Probabilistic Models,"['Marc T Law', 'Jake Snell', 'Amir-massoud Farahmand', 'Raquel Urtasun', 'Richard S Zemel']",Accept (Poster)
Biologically-Plausible Learning Algorithms Can Scale to Large Datasets,"['Will Xiao', 'Honglin Chen', 'Qianli Liao', 'Tomaso Poggio']",Accept (Poster)
Generating Multi-Agent Trajectories using Programmatic Weak Supervision,"['Eric Zhan', 'Stephan Zheng', 'Yisong Yue', 'Long Sha', 'Patrick Lucey']",Accept (Poster)
Learning Representations of Categorical Feature Combinations via Self-Attention,"['Chen Xu', 'Chengzhen Fu', 'Peng Jiang', 'Wenwu Ou']",Reject
ATTACK GRAPH CONVOLUTIONAL NETWORKS BY ADDING FAKE NODES,"['Xiaoyun Wang', 'Joe Eaton', 'Cho-Jui Hsieh', 'Felix Wu']",Reject
Predict then Propagate: Graph Neural Networks meet Personalized PageRank,"['Johannes Gasteiger', 'Aleksandar Bojchevski', 'Stephan Günnemann']",Accept (Poster)
Environment Probing Interaction Policies,"['Wenxuan Zhou', 'Lerrel Pinto', 'Abhinav Gupta']",Accept (Poster)
Learning Diverse Generations using Determinantal Point Processes,"['Mohamed Elfeki', 'Camille Couprie', 'Mohamed Elhoseiny']",Reject
Maximum a Posteriori on a Submanifold: a General Image Restoration Method with GAN,"['Fangzhou Luo', 'Xiaolin Wu']",Reject
Multi-objective training of Generative Adversarial Networks with multiple discriminators,"['Isabela Albuquerque', 'João Monteiro', 'Thang Doan', 'Breandan Considine', 'Tiago Falk', 'Ioannis Mitliagkas']",Reject
Universal Successor Features for Transfer Reinforcement Learning,"['Chen Ma', 'Dylan R. Ashley', 'Junfeng Wen', 'Yoshua Bengio']",Reject
Transferring Knowledge across Learning Processes,"['Sebastian Flennerhag', 'Pablo G. Moreno', 'Neil D. Lawrence', 'Andreas Damianou']",Accept (Oral)
Latent Domain Transfer: Crossing modalities with Bridging Autoencoders,"['Yingtao Tian', 'Jesse Engel']",Reject
Time-Agnostic Prediction: Predicting Predictable Video Frames,"['Dinesh Jayaraman', 'Frederik Ebert', 'Alexei Efros', 'Sergey Levine']",Accept (Poster)
Unsupervised Adversarial Image Reconstruction,"['Arthur Pajot', 'Emmanuel de Bezenac', 'Patrick Gallinari']",Accept (Poster)
Deep Decoder: Concise Image Representations from Untrained Non-convolutional Networks,"['Reinhard Heckel', 'Paul Hand']",Accept (Poster)
Minimal Images in Deep Neural Networks: Fragile Object Recognition in Natural Images,"['Sanjana Srivastava', 'Guy Ben-Yosef', 'Xavier Boix']",Accept (Poster)
Overcoming the Disentanglement vs Reconstruction Trade-off via Jacobian Supervision,['José Lezama'],Accept (Poster)
ProbGAN: Towards Probabilistic GAN with Theoretical Guarantees,"['Hao He', 'Hao Wang', 'Guang-He Lee', 'Yonglong Tian']",Accept (Poster)
Noisy Information Bottlenecks for Generalization,"['Julius Kunze', 'Louis Kirsch', 'Hippolyt Ritter', 'David Barber']",Reject
Open-Ended Content-Style Recombination Via Leakage Filtering,"['Karl Ridgeway', 'Michael C. Mozer']",Reject
Training Hard-Threshold Networks with Combinatorial Search in a Discrete Target Propagation Setting,"['Lukas Nabergall', 'Justin Toth', 'Leah Cousins']",Reject
Dimension-Free Bounds for Low-Precision Training,"['Zheng Li', 'Christopher De Sa']",Reject
VHEGAN: Variational Hetero-Encoder Randomized GAN for Zero-Shot Learning,"['Hao Zhang', 'Bo Chen', 'Long Tian', 'Zhengjue Wang', 'Mingyuan Zhou']",Reject
Theoretical Analysis of Auto Rate-Tuning by Batch Normalization,"['Sanjeev Arora', 'Zhiyuan Li', 'Kaifeng Lyu']",Accept (Poster)
Three Mechanisms of Weight Decay Regularization,"['Guodong Zhang', 'Chaoqi Wang', 'Bowen Xu', 'Roger Grosse']",Accept (Poster)
Do Language Models Have Common Sense?,"['Trieu H. Trinh', 'Quoc V. Le']",Reject
Approximating CNNs with Bag-of-local-Features models works surprisingly well on ImageNet,"['Wieland Brendel', 'Matthias Bethge']",Accept (Poster)
Predictive Local Smoothness for Stochastic Gradient Methods,"['Jun Li', 'Hongfu Liu', 'Bineng Zhong', 'Yue Wu', 'Yun Fu']",Reject
Attentive Task-Agnostic Meta-Learning for Few-Shot Text Classification,"['Xiang Jiang', 'Mohammad Havaei', 'Gabriel Chartrand', 'Hassan Chouaib', 'Thomas Vincent', 'Andrew Jesson', 'Nicolas Chapados', 'Stan Matwin']",Reject
Learning Exploration Policies for Navigation,"['Tao Chen', 'Saurabh Gupta', 'Abhinav Gupta']",Accept (Poster)
"The Lottery Ticket Hypothesis: Finding Sparse, Trainable Neural Networks","['Jonathan Frankle', 'Michael Carbin']",Accept (Oral)
HR-TD: A Regularized TD Method to Avoid Over-Generalization,"['Ishan Durugkar', 'Bo Liu', 'Peter Stone']",Reject
Learning Programmatically Structured Representations with Perceptor Gradients,"['Svetlin Penkov', 'Subramanian Ramamoorthy']",Accept (Poster)
Mimicking actions is a good strategy for beginners: Fast Reinforcement Learning with Expert Action Sequences,"['Tharun Medini', 'Anshumali Shrivastava']",Reject
Learning Mixed-Curvature Representations in Product Spaces,"['Albert Gu', 'Frederic Sala', 'Beliz Gunel', 'Christopher Ré']",Accept (Poster)
Lyapunov-based Safe Policy Optimization,"['Yinlam Chow', 'Ofir Nachum', 'Mohammad Ghavamzadeh', 'Edgar Guzman-Duenez']",Reject
Predictive Uncertainty through Quantization,"['Bastiaan S. Veeling', 'Rianne van den Berg', 'Max Welling']",Reject
Stable Recurrent Models,"['John Miller', 'Moritz Hardt']",Accept (Poster)
Inter-BMV: Interpolation with Block Motion Vectors for Fast Semantic Segmentation on Video,"['Samvit Jain', 'Joseph Gonzalez']",Reject
Success at any cost: value constrained model-free continuous control,"['Steven Bohez', 'Abbas Abdolmaleki', 'Michael Neunert', 'Jonas Buchli', 'Nicolas Heess', 'Raia Hadsell']",Reject
Learning Heuristics for Automated Reasoning through Reinforcement Learning,"['Gil Lederman', 'Markus N. Rabe', 'Edward A. Lee', 'Sanjit A. Seshia']",Reject
Unsupervised Disentangling Structure and Appearance,"['Wayne Wu', 'Kaidi Cao', 'Cheng Li', 'Chen Qian', 'Chen Change Loy']",Reject
Hallucinations in Neural Machine Translation,"['Katherine Lee', 'Orhan Firat', 'Ashish Agarwal', 'Clara Fannjiang', 'David Sussillo']",Reject
Probabilistic Model-Based Dynamic Architecture Search,"['Nozomu Yoshinari', 'Kento Uchida', 'Shota Saito', 'Shinichi Shirakawa', 'Youhei Akimoto']",Reject
"Neural Network Regression with Beta, Dirichlet, and Dirichlet-Multinomial Outputs","['Peter Sadowski', 'Pierre Baldi']",Reject
Partially Mutual Exclusive Softmax for Positive and Unlabeled data,"['Ugo Tanielian', 'Flavian vasile', 'Mike Gartrell']",Reject
Automatic generation of object shapes with desired functionalities,"['Mihai Andries', 'Atabak Dehban', 'Jose Santos-Victor']",Reject
Deep Anomaly Detection with Outlier Exposure,"['Dan Hendrycks', 'Mantas Mazeika', 'Thomas Dietterich']",Accept (Poster)
Variational recurrent models for representation learning,"['Qingming Tang', 'Mingda Chen', 'Weiran Wang', 'Karen Livescu']",Reject
Trace-back along capsules and its application on semantic segmentation  		,"['Tao Sun', 'Zhewei Wang', 'C. D. Smith', 'Jundong Liu']",Reject
A Walk with SGD: How SGD Explores Regions of Deep Network Loss?,"['Chen Xing', 'Devansh Arpit', 'Christos Tsirigotis', 'Yoshua Bengio']",Reject
Perception-Aware Point-Based Value Iteration for Partially Observable Markov Decision Processes,"['Mahsa Ghasemi', 'Ufuk Topcu']",Reject
Featurized Bidirectional GAN: Adversarial Defense via Adversarially Learned Semantic Inference,"['Ruying Bao', 'Sihang Liang', 'Qingcan Wang']",Reject
Exemplar Guided Unsupervised Image-to-Image Translation with Semantic Consistency,"['Liqian Ma', 'Xu Jia', 'Stamatios Georgoulis', 'Tinne Tuytelaars', 'Luc Van Gool']",Accept (Poster)
Clean-Label Backdoor Attacks,"['Alexander Turner', 'Dimitris Tsipras', 'Aleksander Madry']",Reject
Adversarially Learned Mixture Model,"['Andrew Jesson', 'Cécile Low-Kam', 'Tanya Nair', 'Florian Soudan', 'Florent Chandelier', 'Nicolas Chapados']",Reject
Inducing Cooperation via Learning to reshape rewards in semi-cooperative multi-agent reinforcement learning,"['David Earl Hostallero', 'Daewoo Kim', 'Kyunghwan Son', 'Yung Yi']",Reject
Pay Less Attention with Lightweight and Dynamic Convolutions,"['Felix Wu', 'Angela Fan', 'Alexei Baevski', 'Yann Dauphin', 'Michael Auli']",Accept (Oral)
Doubly Reparameterized Gradient Estimators for Monte Carlo Objectives,"['George Tucker', 'Dieterich Lawson', 'Shixiang Gu', 'Chris J. Maddison']",Accept (Poster)
Adversarial Attacks on Graph Neural Networks via Meta Learning,"['Daniel Zügner', 'Stephan Günnemann']",Accept (Poster)
Adaptive Gradient Methods with Dynamic Bound of Learning Rate,"['Liangchen Luo', 'Yuanhao Xiong', 'Yan Liu', 'Xu Sun']",Accept (Poster)
Dynamic Graph Representation Learning via Self-Attention Networks,"['Aravind Sankar', 'Yanhong Wu', 'Liang Gou', 'Wei Zhang', 'Hao Yang']",Reject
Neural Networks with Structural Resistance to Adversarial Attacks,['Luca de Alfaro'],Reject
Optimized Gated Deep Learning Architectures for Sensor Fusion,"['Myung Seok Shim', 'Peng Li']",Reject
NATTACK: A STRONG AND UNIVERSAL GAUSSIAN BLACK-BOX ADVERSARIAL ATTACK,"['Yandong Li', 'Lijun Li', 'Liqiang Wang', 'Tong Zhang', 'Boqing Gong']",Reject
ON THE EFFECTIVENESS OF TASK GRANULARITY FOR TRANSFER LEARNING,"['Farzaneh Mahdisoltani', 'Guillaume Berger', 'Waseem Gharbieh', 'David Fleet', 'Roland Memisevic']",Reject
A   RECURRENT NEURAL CASCADE-BASED MODEL FOR CONTINUOUS-TIME DIFFUSION PROCESS,['Sylvain Lamprier'],Reject
Random mesh projectors for inverse problems,"['Konik Kothari*', 'Sidharth Gupta*', 'Maarten v. de Hoop', 'Ivan Dokmanic']",Accept (Poster)
Shrinkage-based Bias-Variance Trade-off for Deep Reinforcement Learning,"['Yihao Feng', 'Hao Liu', 'Jian Peng', 'Qiang Liu']",Reject
A Statistical Approach to Assessing Neural Network Robustness,"['Stefan Webb', 'Tom Rainforth', 'Yee Whye Teh', 'M. Pawan Kumar']",Accept (Poster)
Learning Actionable Representations with Goal Conditioned Policies,"['Dibya Ghosh', 'Abhishek Gupta', 'Sergey Levine']",Accept (Poster)
Learning Implicitly Recurrent CNNs Through Parameter Sharing,"['Pedro Savarese', 'Michael Maire']",Accept (Poster)
Understanding & Generalizing AlphaGo Zero,"['Ravichandra Addanki', 'Mohammad Alizadeh', 'Shaileshh Bojja Venkatakrishnan', 'Devavrat Shah', 'Qiaomin Xie', 'Zhi Xu']",Reject
Quality Evaluation of GANs Using Cross Local Intrinsic Dimensionality,"['Sukarna Barua', 'Xingjun Ma', 'Sarah Monazam Erfani', 'Michael Houle', 'James Bailey']",Reject
Guided Evolutionary Strategies: Escaping the curse of dimensionality in random search,"['Niru Maheswaranathan', 'Luke Metz', 'George Tucker', 'Dami Choi', 'Jascha Sohl-Dickstein']",Reject
Meta-Learning for Contextual Bandit Exploration,"['Amr Sharaf', 'Hal Daumé III']",Reject
Reconciling Feature-Reuse and Overfitting in DenseNet with Specialized Dropout,"['Kun Wan', 'Boyuan Feng', 'Lingwei Xie', 'Yufei Ding']",Reject
Understanding the Effectiveness of Lipschitz-Continuity in Generative Adversarial Nets,"['Zhiming Zhou', 'Yuxuan Song', 'Lantao Yu', 'Hongwei Wang', 'Weinan Zhang', 'Zhihua Zhang', 'Yong Yu']",Reject
On the Geometry of Adversarial Examples,"['Marc Khoury', 'Dylan Hadfield-Menell']",Reject
Transfer Learning for Sequences via Learning to Collocate,"['Wanyun Cui', 'Guangyu Zheng', 'Zhiqiang Shen', 'Sihang Jiang', 'Wei Wang']",Accept (Poster)
Modulated Variational Auto-Encoders for Many-to-Many Musical Timbre Transfer,"['Adrien Bitton', 'Philippe Esling', 'Axel Chemla-Romeu-Santos']",Reject
SSoC: Learning Spontaneous and Self-Organizing Communication for Multi-Agent Collaboration,"['Xiangyu Kong', 'Jing Li', 'Bo Xin', 'Yizhou Wang']",Reject
How to train your MAML,"['Antreas Antoniou', 'Harrison Edwards', 'Amos Storkey']",Accept (Poster)
Meta Learning with Fast/Slow Learners,['zhuoyuan@fb.com'],Reject
A Study of Robustness of Neural Nets Using Approximate Feature Collisions,"['Ke Li*', 'Tianhao Zhang*', 'Jitendra Malik']",Reject
"Variational Discriminator Bottleneck: Improving Imitation Learning, Inverse RL, and GANs by Constraining Information Flow","['Xue Bin Peng', 'Angjoo Kanazawa', 'Sam Toyer', 'Pieter Abbeel', 'Sergey Levine']",Accept (Poster)
Information Regularized Neural Networks,"['Tianchen Zhao', 'Dejiao Zhang', 'Zeyu Sun', 'Honglak Lee']",Reject
Prob2Vec: Mathematical Semantic Embedding for Problem Retrieval in Adaptive Tutoring,"['Du Su', 'Ali Yekkehkhany', 'Yi Lu', 'Wenmiao Lu']",Reject
Learning what and where to attend,"['Drew Linsley', 'Dan Shiebler', 'Sven Eberhardt', 'Thomas Serre']",Accept (Poster)
Learning protein sequence embeddings using information from structure,"['Tristan Bepler', 'Bonnie Berger']",Accept (Poster)
Conditional Inference in Pre-trained Variational Autoencoders via Cross-coding,"['Ga Wu', 'Justin Domke', 'Scott Sanner']",Reject
Safe Policy Learning from Observations,"['Elad Sarafian', 'Aviv Tamar', 'Sarit Kraus']",Reject
Open Vocabulary Learning on Source Code with a Graph-Structured Cache,"['Milan Cvitkovic', 'Badal Singh', 'Anima Anandkumar']",Reject
BNN+: Improved Binary Network Training,"['Sajad Darabi', 'Mouloud Belbahri', 'Matthieu Courbariaux', 'Vahid Partovi Nia']",Reject
What do you learn from context? Probing for sentence structure in contextualized word representations,"['Ian Tenney', 'Patrick Xia', 'Berlin Chen', 'Alex Wang', 'Adam Poliak', 'R Thomas McCoy', 'Najoung Kim', 'Benjamin Van Durme', 'Samuel R. Bowman', 'Dipanjan Das', 'Ellie Pavlick']",Accept (Poster)
DEFactor: Differentiable Edge Factorization-based Probabilistic Graph Generation,"['Rim Assouel', 'Mohamed Ahmed', 'Marwin Segler', 'Amir Saffari', 'Yoshua Bengio']",Reject
MEAN-FIELD ANALYSIS OF BATCH NORMALIZATION,"['Mingwei Wei', 'James Stokes', 'David J Schwab']",Reject
End-to-end learning of pharmacological assays from high-resolution microscopy images,"['Markus Hofmarcher', 'Elisabeth Rumetshofer', 'Sepp Hochreiter', 'Günter Klambauer']",Reject
PCNN: Environment Adaptive Model Without Finetuning,"['Boyuan Feng', 'Kun Wan', 'Shu Yang', 'Yufei Ding']",Reject
A More Globally Accurate Dimensionality Reduction Method Using Triplets,"['Ehsan Amid', 'Manfred K. Warmuth']",Reject
Temporal Difference Variational Auto-Encoder,"['Karol Gregor', 'George Papamakarios', 'Frederic Besse', 'Lars Buesing', 'Theophane Weber']",Accept (Oral)
Deep learning generalizes because the parameter-function map is biased towards simple functions,"['Guillermo Valle-Perez', 'Chico Q. Camargo', 'Ard A. Louis']",Accept (Poster)
CAMOU: Learning Physical Vehicle Camouflages to Adversarially Attack Detectors in the Wild,"['Yang Zhang', 'Hassan Foroosh', 'Philip David', 'Boqing Gong']",Accept (Poster)
MAE: Mutual Posterior-Divergence Regularization for Variational AutoEncoders,"['Xuezhe Ma', 'Chunting Zhou', 'Eduard Hovy']",Accept (Poster)
A Convergence Analysis of Gradient Descent for Deep Linear Neural Networks,"['Sanjeev Arora', 'Nadav Cohen', 'Noah Golowich', 'Wei Hu']",Accept (Poster)
Actor-Attention-Critic for Multi-Agent Reinforcement Learning,"['Shariq Iqbal', 'Fei Sha']",Reject
Overlapping Community Detection with Graph Neural Networks,"['Oleksandr Shchur', 'Stephan Günnemann']",Reject
NLProlog: Reasoning with Weak Unification for Natural Language Question Answering,"['Leon Weber', 'Pasquale Minervini', 'Ulf Leser', 'Tim Rocktäschel']",Reject
Graph2Seq: Graph to Sequence Learning with Attention-Based Neural Networks,"['Kun Xu', 'Lingfei Wu', 'Zhiguo Wang', 'Yansong Feng', 'Michael Witbrock', 'Vadim Sheinin']",Reject
"Don't Settle for Average, Go for the Max: Fuzzy Sets and Max-Pooled Word Vectors","['Vitalii Zhelezniak', 'Aleksandar Savkov', 'April Shen', 'Francesco Moramarco', 'Jack Flann', 'Nils Y. Hammerla']",Accept (Poster)
Structured Prediction using cGANs with Fusion Discriminator,"['Faisal Mahmood', 'Wenhao Xu', 'Nicholas J. Durr', 'Jeremiah W. Johnson', 'Alan Yuille']",Reject
Constraining Action Sequences with Formal Languages for Deep Reinforcement Learning,"['Dong Xu', 'Eleanor Quint', 'Zeynep Hakguder', 'Haluk Dogan', 'Stephen Scott', 'Matthew Dwyer']",Reject
End-to-End Hierarchical Text Classification with Label Assignment Policy,"['Yuning Mao', 'Jingjing Tian', 'Jiawei Han', 'Xiang Ren']",Reject
Learning Partially Observed PDE Dynamics with Neural Networks,"['Ibrahim Ayed', 'Emmanuel De Bézenac', 'Arthur Pajot', 'Patrick Gallinari']",Reject
"The Neuro-Symbolic Concept Learner: Interpreting Scenes, Words, and Sentences From Natural Supervision","['Jiayuan Mao', 'Chuang Gan', 'Pushmeet Kohli', 'Joshua B. Tenenbaum', 'Jiajun Wu']",Accept (Oral)
The role of over-parametrization in generalization of neural networks,"['Behnam Neyshabur', 'Zhiyuan Li', 'Srinadh Bhojanapalli', 'Yann LeCun', 'Nathan Srebro']",Accept (Poster)
Deep Probabilistic Video Compression,"['Jun Han', 'Salvator Lombardo', 'Christopher Schroers', 'Stephan Mandt']",Reject
Reinforcement Learning with Perturbed Rewards,"['Jingkang Wang', 'Yang Liu', 'Bo Li']",Reject
Evaluating GANs via Duality,"['Paulina Grnarova', 'Kfir Y Levy', 'Aurelien Lucchi', 'Nathanael Perraudin', 'Thomas Hofmann', 'Andreas Krause']",Reject
On the Convergence of A Class of Adam-Type Algorithms  for Non-Convex Optimization,"['Xiangyi Chen', 'Sijia Liu', 'Ruoyu Sun', 'Mingyi Hong']",Accept (Poster)
Controlling Over-generalization and its Effect on Adversarial Examples Detection and Generation,"['Mahdieh Abbasi', 'Arezoo Rajabi', 'Azadeh Sadat Mozafari', 'Rakesh B. Bobba', 'Christian Gagné']",Reject
Coverage and Quality Driven Training of Generative Image Models,"['Thomas LUCAS', 'Konstantin SHMELKOV', 'Karteek ALAHARI', 'Cordelia SCHMID', 'Jakob VERBEEK']",Reject
Iteratively Learning from the Best,"['Yanyao Shen', 'Sujay Sanghavi']",Reject
Gradient descent aligns the layers of deep linear networks,"['Ziwei Ji', 'Matus Telgarsky']",Accept (Poster)
Distinguishability of Adversarial Examples,"['Yi Qin', 'Ryan Hunt', 'Chuan Yue']",Reject
Hierarchical RL Using an Ensemble of Proprioceptive Periodic Policies,"['Kenneth Marino', 'Abhinav Gupta', 'Rob Fergus', 'Arthur Szlam']",Accept (Poster)
Learning To Simulate,"['Nataniel Ruiz', 'Samuel Schulter', 'Manmohan Chandraker']",Accept (Poster)
Multilingual Neural Machine Translation With Soft Decoupled Encoding,"['Xinyi Wang', 'Hieu Pham', 'Philip Arthur', 'Graham Neubig']",Accept (Poster)
Meta-Learning with Latent Embedding Optimization,"['Andrei A. Rusu', 'Dushyant Rao', 'Jakub Sygnowski', 'Oriol Vinyals', 'Razvan Pascanu', 'Simon Osindero', 'Raia Hadsell']",Accept (Poster)
"Prototypical Examples in Deep Learning: Metrics, Characteristics, and Utility","['Nicholas Carlini', 'Ulfar Erlingsson', 'Nicolas Papernot']",Reject
Empirical Bounds on Linear Regions of Deep Rectifier Networks,"['Thiago Serra', 'Srikumar Ramalingam']",Reject
Distilled Agent DQN for Provable Adversarial Robustness,"['Matthew Mirman', 'Marc Fischer', 'Martin Vechev']",Reject
Visual Semantic Navigation using Scene Priors,"['Wei Yang', 'Xiaolong Wang', 'Ali Farhadi', 'Abhinav Gupta', 'Roozbeh Mottaghi']",Accept (Poster)
Graph Learning Network: A Structure Learning Algorithm,"['Darwin Danilo Saire Pilco', 'Adín Ramírez Rivera']",Reject
Teaching to Teach by Structured Dark Knowledge,"['Ziliang Chen', 'Keze Wang', 'Liang Lin']",Reject
Alignment Based Mathching Networks for One-Shot Classification and Open-Set Recognition,"['Paresh Malalur', 'Tommi Jaakkola']",Reject
AdaShift: Decorrelation and Convergence of Adaptive Learning Rate Methods,"['Zhiming Zhou*', 'Qingru Zhang*', 'Guansong Lu', 'Hongwei Wang', 'Weinan Zhang', 'Yong Yu']",Accept (Poster)
Empirical Study of Easy and Hard Examples in CNN Training,"['Ikki Kishida', 'Hideki Nakayama']",Reject
Sliced Wasserstein Auto-Encoders,"['Soheil Kolouri', 'Phillip E. Pope', 'Charles E. Martin', 'Gustavo K. Rohde']",Accept (Poster)
Unifying Bilateral Filtering and Adversarial Training for Robust Neural Networks,"['Neale Ratzlaff', 'Li Fuxin']",Reject
Amortized Bayesian Meta-Learning,"['Sachin Ravi', 'Alex Beatson']",Accept (Poster)
Local SGD Converges Fast and Communicates Little,['Sebastian U. Stich'],Accept (Poster)
"CNNSAT: Fast, Accurate Boolean Satisfiability using Convolutional Neural Networks","['Yu Wang', 'Fengjuan Gao', 'Amin Alipour', 'Linzhang Wang', 'Xuandong Li', 'Zhendong Su']",Reject
LARGE BATCH SIZE TRAINING OF NEURAL NETWORKS WITH ADVERSARIAL TRAINING AND SECOND-ORDER INFORMATION,"['Zhewei Yao', 'Amir Gholami', 'Kurt Keutzer', 'Michael Mahoney']",Reject
Learning Protein Structure with a Differentiable Simulator,"['John Ingraham', 'Adam Riesselman', 'Chris Sander', 'Debora Marks']",Accept (Oral)
Metropolis-Hastings view on variational inference and adversarial training,"['Kirill Neklyudov', 'Dmitry Vetrov']",Reject
Shallow Learning For Deep Networks,"['Eugene Belilovsky', 'Michael Eickenberg', 'Edouard Oyallon']",Reject
Where and when to look? Spatial-temporal attention for action recognition in videos,"['Lili Meng', 'Bo Zhao', 'Bo Chang', 'Gao Huang', 'Frederick Tung', 'Leonid Sigal']",Reject
textTOvec: DEEP CONTEXTUALIZED NEURAL AUTOREGRESSIVE TOPIC MODELS OF LANGUAGE WITH DISTRIBUTED COMPOSITIONAL PRIOR,"['Pankaj Gupta', 'Yatin Chaudhary', 'Florian Buettner', 'Hinrich Schuetze']",Accept (Poster)
Learning and Planning with a Semantic Model,"['Yi Wu', 'Yuxin Wu', 'Aviv Tamar', 'Stuart Russell', 'Georgia Gkioxari', 'Yuandong Tian']",Reject
Neural Program Repair by Jointly Learning to Localize and Repair,"['Marko Vasic', 'Aditya Kanade', 'Petros Maniatis', 'David Bieber', 'Rishabh Singh']",Accept (Poster)
Adversarial Examples Are a Natural Consequence of Test Error in Noise,"['Nicolas Ford', 'Justin Gilmer', 'Ekin D. Cubuk']",Reject
HAPPIER: Hierarchical Polyphonic Music Generative RNN,"['Tianyang Zhao', 'Xiaoxuan Ma', 'Honglin Ma', 'Yizhou Wang']",Reject
Improved Language Modeling by Decoding the Past,['Siddhartha Brahma'],Reject
Rating Continuous Actions in Spatial Multi-Agent Problems,"['Uwe Dick', 'Maryam Tavakol', 'Ulf Brefeld']",Reject
Human-level Protein Localization with Convolutional Neural Networks,"['Elisabeth Rumetshofer', 'Markus Hofmarcher', 'Clemens Röhrl', 'Sepp Hochreiter', 'Günter Klambauer']",Accept (Poster)
From Language to Goals: Inverse Reinforcement Learning for Vision-Based Instruction Following,"['Justin Fu', 'Anoop Korattikara', 'Sergey Levine', 'Sergio Guadarrama']",Accept (Poster)
ClariNet: Parallel Wave Generation in End-to-End Text-to-Speech,"['Wei Ping', 'Kainan Peng', 'Jitong Chen']",Accept (Poster)
Towards the Latent Transcriptome,"['Assya Trofimov', 'Francis Dutil', 'Claude Perreault', 'Sebastien Lemieux', 'Yoshua Bengio', 'Joseph Paul Cohen']",Reject
Generalized Capsule Networks with Trainable Routing Procedure,"['Zhenhua Chen', 'Chuhua Wang', 'Tiancong Zhao', 'David Crandall']",Reject
Variational Autoencoder with Arbitrary Conditioning,"['Oleg Ivanov', 'Michael Figurnov', 'Dmitry Vetrov']",Accept (Poster)
Selectivity metrics can overestimate the selectivity of units: a case study on AlexNet,"['Ella M. Gale', 'Anh Nguyen', 'Ryan Blything', 'Nicholas Martin and Jeffrey S. Bowers']",Reject
Janossy Pooling: Learning Deep Permutation-Invariant Functions for Variable-Size Inputs,"['Ryan L. Murphy', 'Balasubramaniam Srinivasan', 'Vinayak Rao', 'Bruno Ribeiro']",Accept (Poster)
The Deep Weight Prior,"['Andrei Atanov', 'Arsenii Ashukha', 'Kirill Struminsky', 'Dmitriy Vetrov', 'Max Welling']",Accept (Poster)
A new dog learns old tricks:  RL finds classic optimization algorithms,"['Weiwei Kong', 'Christopher Liaw', 'Aranyak Mehta', 'D. Sivakumar']",Accept (Poster)
DOM-Q-NET:  Grounded RL on Structured Language,"['Sheng Jia', 'Jamie Ryan Kiros', 'Jimmy Ba']",Accept (Poster)
