title,cited_by_count
parametrized deep q-networks learning: playing online battle arena with discrete-continuous hybrid action space,1
better generalization by efficient trust region method,0
enrichment of features for classification using an optimized linear/non-linear combination of input features,0
correcting nuisance variation using wasserstein distance,7
tcav: relative concept importance testing with linear concept activation vectors,30
piecewise linear neural networks verification: a comparative study,66
discrete-valued neural networks using variational inference,3
revisiting knowledge base embedding as tensor decomposition,1
learning semantic word respresentations via tensor factorization,0
how do deep convolutional neural networks learn from raw audio waveforms?,9
learning covariate-specific embeddings with tensor decompositions,0
neural task graph execution,0
achieving morphological agreement with concorde,0
multiscale hidden markov models for covariance prediction,2
predicting multiple actions for stochastic continuous control,1
lung tumor location and identification with alexnet and a custom cnn,0
large scale multi-domain multi-task learning with multimodel,0
representing dynamically: an active process for describing sequential data,0
"universality, robustness, and detectability of adversarial perturbations under adversarial training",2
generative entity networks: disentangling entitites and attributes in visual scenes using partial natural language descriptions,1
block-normalized gradient method: an empirical study for training deep neural network,25
neural networks for irregularly observed continuous-time stochastic processes,1
classifier-to-generator attack: estimation of training data distribution from classifier,2
aann: absolute artificial neural network,6
a deep predictive coding network for learning latent representations,4
softmax supervision with isotropic normalization,2
towards a testable notion of generalization for generative adversarial networks,1
gating out sensory noise in a spike-based long short-term memory network,0
hyperedge2vec: distributed representations for hyperedges,6
few-shot learning with simplex,0
long term memory network for combinatorial optimization problems,0
learning to treat sepsis with multi-output gaussian process deep recurrent q-networks,9
model distillation with knowledge transfer from face classification to alignment and verification,20
a painless attention mechanism for convolutional neural networks,7
a spectral approach to generalization and optimization in neural networks,1
link weight prediction with node embeddings,1
generalization of learning using reservoir computing,0
exploring sentence vectors through automatic summarization,0
noise-based regularizers for recurrent neural networks,2
soft value iteration networks for planetary rover path planning,1
towards building affect sensitive word distributions,1
simple nearest neighbor policy method for continuous control tasks,7
airnet: a machine learning dataset for air quality forecasting,10
anytime neural network: a versatile trade-off between computation and accuracy,6
learning dynamic state abstractions for model-based reinforcement learning,0
unsupervised learning of entailment-vector word embeddings,0
variance regularizing adversarial learning,7
dynamic integration of background knowledge in neural nlu systems,62
recurrent auto-encoder model for multidimensional time series representation,7
gated fast weights for associative retrieval,0
toward learning better metrics for sequence generation training with policy gradient,1
towards unsupervised classification with deep generative models,0
relational multi-instance learning for concept annotation from medical time series,0
learning gaussian policies from smoothed action value functions,1
word2net: deep representations of language,0
dependent bidirectional rnn with extended-long short-term memory,4
gaussian prototypical networks for few-shot learning on omniglot,80
demystifying overcomplete nonlinear auto-encoders: fast sgd convergence towards sparse representation from random initialization,2
learning representations for faster similarity search,0
discovery of predictive representations with a network of general value functions,2
understanding and exploiting the low-rank structure of deep networks,1
faster distributed synchronous sgd with weak synchronization,1
alpha-divergence bridges maximum likelihood and reinforcement learning in neural sequence generation,0
towards safe deep learning: unsupervised defense against generic adversarial attacks,1
small coresets to represent large training data for support vector machines,1
gated convnets for letter-based asr,0
from information bottleneck to activation norm penalty,0
multi-label learning for large text corpora using latent variable model with provable gurantees,0
self-supervised learning of object motion through adversarial video prediction,0
do deep reinforcement learning algorithms really learn to navigate?,4
bit-regularized optimization of neural nets,2
ego-cnn: an ego network-based representation of graphs detecting critical structures,0
exploring neural architecture search for language tasks,5
feature map variational auto-encoders,1
